Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Cinnamon Rolls by Bing,25,45,https://www.foodista.com/recipe/H3DWBXRM/cinnamon-rolls-by-bing,https://img.spoonacular.com/recipes/639482-556x370.jpg,632.15,34.53,17.57,76.16
Moroccan Spiced Chicken Under A Brick,4,45,https://www.foodista.com/recipe/XZ875TD7/moroccan-spiced-chicken-under-a-brick,https://img.spoonacular.com/recipes/652442-556x370.jpg,487.63,38.98,9.03,2.51
Spicy Indian-Style Hummus,12,45,https://www.foodandspice.com/2012/07/spicy-hummus-indian-style.html,https://img.spoonacular.com/recipes/716195-556x370.jpg,133.79,6.38,0.85,15.34
Siamese Fried Noodle (Mee Siam),5,45,https://www.foodista.com/recipe/DBLZMGJK/siamese-fried-noodle-mee-siam,https://img.spoonacular.com/recipes/660048-556x370.jpg,708.3,29.51,9.46,62.69
Peruvian Roast Chicken,4,45,https://www.foodista.com/recipe/48JPTJ2N/peruvian-roast-chicken,https://img.spoonacular.com/recipes/655793-556x370.jpg,471.55,35.96,8.61,4.47
Coffee Cream Martinis,4,45,https://www.foodista.com/recipe/3LNCWRTF/coffee-cream-martinis,https://img.spoonacular.com/recipes/639866-556x370.jpg,303.64,1.95,1.07,58.57
"Organic Peach, Cucumber & Golden Tomato Gazpacho",10,45,https://www.foodista.com/recipe/634KCHRK/organic-peach-cucumber-golden-tomato-gazpacho,https://img.spoonacular.com/recipes/654056-556x370.jpg,89.88,5.76,0.79,5.46
Azteca Soup,6,45,https://www.foodista.com/recipe/PTNVWTYV/azteca-soup,https://img.spoonacular.com/recipes/633194-556x370.jpg,331.37,18.4,3.48,40.81
Upside-Down Blueberry Puffs Brunch,6,50,https://www.pinkwhen.com/upside-blueberry-puffs/,https://img.spoonacular.com/recipes/729530-556x370.jpg,275.23,9.66,5.61,44.98
How to Make Easy Cheesy Garlic Bread,8,15,https://www.pinkwhen.com/easy-cheesy-garlic-bread/,https://img.spoonacular.com/recipes/1062883-556x370.jpg,348.44,14.68,5.45,41.49
Smoky Black Bean Soup With Sweet Potato & Kale,6,630,https://www.foodista.com/recipe/B8SQD87X/smoky-black-bean-soup-with-sweet-potato-kale,https://img.spoonacular.com/recipes/660405-556x370.jpg,554.93,7.45,1.17,102.54
Smoked Salmon and Mascarpone Calzone,2,45,https://www.foodista.com/recipe/PB3V8BYG/smoked-salmon-and-mascarpone-calzone,https://img.spoonacular.com/recipes/660366-556x370.jpg,940.41,47.28,19.58,100.96
Overnight Steel Cut Oatmeal,8,45,https://www.foodista.com/recipe/7H4XQBD4/overnight-steel-cut-oatmeal,https://img.spoonacular.com/recipes/654274-556x370.jpg,188.83,5.67,2.2,28.8
"Farro With Porcini, Chanterelles & Mascarpone",4,45,https://www.foodista.com/recipe/S2JKV3NW/farro-with-porcini-chanterelles-mascarpone,https://img.spoonacular.com/recipes/642606-556x370.jpg,418.38,19.46,11.69,54.25
Zucchini & Basil Frittata,3,45,https://www.foodista.com/recipe/6M6YWJJG/zucchini-basil-frittata,https://img.spoonacular.com/recipes/665691-556x370.jpg,209.26,15.72,5.56,6.15
Dried Cherry-Almond Scones,16,45,http://www.foodista.com/recipe/5434SY2K/dried-cherry-almond-scones,https://img.spoonacular.com/recipes/641650-556x370.jpg,216.83,7.39,3.11,32.1
Kielbasa With Brussels Sprouts In Mustard Cream Sauce,4,45,http://www.foodista.com/recipe/77ZSLL4Y/kielbasa-with-brussels-sprouts-in-mustard-cream-sauce,https://img.spoonacular.com/recipes/648895-556x370.jpg,691.85,52.99,17.25,31.13
Hyderabadi baghara Baingan,4,45,https://www.foodista.com/recipe/BT8SH5YL/hyderabadi-baghara-baingan,https://img.spoonacular.com/recipes/647679-556x370.jpg,169.28,7.34,2.79,21.52
Broccoli Tartar,12,45,https://www.foodista.com/recipe/364Q5CSN/broccoli-tartar,https://img.spoonacular.com/recipes/636228-556x370.jpg,139.54,5.84,0.86,19.61
TROPICAL BANANA GREEN SMOOTHIE,1,45,https://www.foodista.com/recipe/PJH3CT2M/tropical-banana-green-smoothie,https://img.spoonacular.com/recipes/663845-556x370.jpg,214.51,2.76,0.94,23.34
Caribbean black bean and sweet potato soup,6,45,https://www.foodista.com/recipe/4YVH7XVD/caribbean-black-bean-and-sweet-potato-soup,https://img.spoonacular.com/recipes/637099-556x370.jpg,190.05,4.95,3.9,34.89
White Chocolate Cherry Hand Pies,10,45,https://www.foodista.com/recipe/T22BGDFV/white-chocolate-cherry-hand-pies,https://img.spoonacular.com/recipes/665170-556x370.jpg,410.11,24.17,10.62,41.79
Zesty Lime Marinated Chicken with Homemade Watermelon Salsa,4,45,http://www.foodista.com/recipe/7RQYF8TW/zesty-lime-marinated-chicken-with-homemade-watermelon-salsa,https://img.spoonacular.com/recipes/665642-556x370.jpg,244.69,6.94,1.22,21.1
Asparagus Eggs Benedict,2,30,https://www.foodista.com/recipe/SZT38TKR/asparagus-eggs-benedict,https://img.spoonacular.com/recipes/632928-556x370.jpg,779.55,57.46,28.54,30.62
Oh Pear Cocktail,1,45,https://www.foodista.com/recipe/2Q85PXFR/oh-pear-cocktail,https://img.spoonacular.com/recipes/653521-556x370.jpg,264.75,0.05,0.0,14.38
Valentine's Chicken Marsala,3,45,https://www.foodista.com/recipe/HVSZQZWG/valentine-s-chicken-marsala,https://img.spoonacular.com/recipes/664270-556x370.jpg,663.56,22.02,10.6,58.08
Sunday Morning Doughnuts,12,45,https://www.foodista.com/recipe/QYGJ42CN/sunday-morning-doughnuts,https://img.spoonacular.com/recipes/662303-556x370.jpg,183.91,1.9,0.97,40.36
"Cod with tomatoes, olives and polenta",4,45,https://www.foodista.com/recipe/R2VC8DFL/cod-with-tomatoes-olives-and-polenta,https://img.spoonacular.com/recipes/639850-556x370.jpg,345.11,18.93,2.65,15.5
Sweet Florida Orange Breakfast Bread,16,45,https://www.foodista.com/recipe/26QJRFWL/sweet-florida-orange-breakfast-bread,https://img.spoonacular.com/recipes/662515-556x370.jpg,353.87,13.28,7.88,55.31
